0,1
True,"Hrana preukusna ,posebno teletina ispod peke i strudla od jabuka koja je od domaceg tijesta. Osoblje iznimno ljubazno , veliki i prostrani park za djecu . Svaka čast . Preporučamo"
False,"Ugođaj je ok,osoblje isto,taj dan sam došao samo na kavu Al me ljubazni  konobar  nagovorio na štrudle od jabuke koja je bila fina ali mala štrudlica, a cijena malo previše za tu poslasticu."
False,Hrana ukusna. Osoblje ljubazno. Okruženje restorana mu daje tu neku posebnost i lijep ugođaj.
True,"Lokacija odlična, konobari ljubazni, hrana loša. Roštilj je bio spreman puno prije i meso držano na pari."
True,"Super mjesto povoljna cuga, super konobari. Sve 5 mjesto za preporuku"
True,"Terezija i Valentino su bili vrh, najbolja usluga u gradu 😊"
False,"Katastrofalna usluga,konobar baca led u glavu gostu ,dere se ,uzas"
True,Domaća izvrsna hrana uz razume cijene i ljubazno osoblje...
True,"Svaki put kad sam u  Zagrebu obavezno idem tamo na ručak. Mamutica je za 6. Posluga vrlo srdačna, već se i poznajemo, spiza odlična, friška i obilata, cijene jela i pića više nego prihvatljive. Preporučam svima."
True,Super hranaCijene prilagodene onom sto se nudi autoktonim zagorskim jelimaČisto i osoblje uslužnoPreporuka jela Savski mamut
True,"Fenomenalna hrana, ljubazni i srdačni vlasnici, atmosfera topla, ugodna, prijateljska, umirujuća...dakle, sve ono što MORA biti prisutno kako bi čovjek jeo savršenu hranu, opušteno i zadovoljno i kako bi se osjećao dobro negdje - postoji u ovom restoranu u ogromnim količinama. ♥️ Malo je reći da preporučam svakome! 🙂🙂🙂"
True,"Najbolji zagrebački restoran sa tradicijom i obiteljskom atmosferom,te tradicionalnim jelima iz ovog dijela Hrvatske."
False,"Ugodan lokal, ali kao da je u njemu vrijeme stalo."
False,"Ne bih želio biti pristran, jer sam dugo razdoblje bio gost restorana, Plješivička klet zaslužuje ocijeni vrlo dobar.Osnivači restorana, otac i majka Požeg, učinili su ga poznatim. Kada su se umorili, kćeri i sinovi, posebno Mladen, nastavili su s novim žarom. Vrijeme prolazi... čas je za mlade Požege, da novim žarom i snagom nastave, zadržavajući sve ono dobro što su baštinili."
True,"Ugodno društvo, jako prijazni konobari, fina hrana"
False,"Ono što sam probao je bilo ukusno, porcije su izdašne, ambijent u redu. Jelo koje mi je konobar predložio kao zamjenu za T-bone steak je bila najobičnija juneća ili teleća šnicla, koja je bila ukusna, ali kao zamjena za steak taj izbor je promašaj. Preopširan meni i  manjkavost na detaljima se uklapaju u sliku. Sve u svemu, nije loše mjesto za nedjeljni obiteljski ručak, ali ne treba očekivati gastro doživljaj."
True,"Sve je bilo fino. Hrana i vino ukusno, osoblje izuzetno ljubazno i cijena primjerena. Za preporučiti."
True,"SUPER HRANA, LJUBAZNO OSOBLJE, PRIHVATLJIVE CIJENE."
False,"Vrlo dobar roštilj, a još bolja variva, usluga korektna."
True,"Dolazimo ovdje 15 godina. Apsolutno nevjerovatno da je kvaliteta hrane, usluge uvijek vrhunski ista. Rijetko mjesto u Zagrebu, gdje uvijek za isti novac dobivaš vrhunsku uslugu sa obiteljskim štihom:)"
True,Odlična hrana. Danas sam pojeo paprikaš za ručak i ne mogu prestati razmišljati o njemu. Porcije velike. Sve pohvale.
True,"Top,konobar više nego profesionalan i susretljiv, hrana je dobra.Rezervirali smo stol za dvoje i djete,dočekala nas je hranilica i mala bojanka pa se i beba zabavila a mi uživali u hrani i ambijentu."
True,"Odlično pečeno, odlična lepinja, odličan ugođaj, dali nam šibice jer nemamo upaljač i nismo odavdje."
True,"Proslavili smo rođendan u maloj sali na Kvatriću, 12.3.23. Bila je opuštena i ugodna atmosfera, fina hrana, ugodno osoblje, izrazito uslužna i vesela mlada konobarica Tihana na praksi. U istom restoranu i sin je bio na praksi pod mentorstvom konobarice Jelene, te su i kao mentori svi djelatnici iskazali svoju ljubaznost, obazrivost, brižnost i prijateljstvo. Sve pohvale! Kristijan i Vesna"
True,"Ljubazan i nenametljiv konobar, koji u svakom trenutku stoji na usluzi.Hrana vrhunska, cijena prihvatljiva."
True,"Sjajan restoran! Meso odlično, kao i prženi krumpirići. Juhe su izvrsne. Najbolji su ćevapi."
True,"Nakon višegodišnje pauze, nimalo se nisam iznenadila što je hrana i dalje odlična. Svakako uzeti na kraju pitu od sira i oraha ili gibanicu. Savršeno! Ambijent solidan, parking veliki - čista petica!"
True,"Vrlo pristojno osoblje, odlična hrana i pristupačne cijenePreporučam! :)"
True,"Starinski ambijent, jako pristojno i pozorno osoblje. Hrana ukusna i jako dobre kvalitete. Zapeceni grah je za svaku pohvalu :)"
False,"Ugodno mjesto za druzenje uz klopu I cugu.Hrana odlicna I svijeza, porcije ok,osoblje ljubazno I usluzno, a cijene umjerene.Vikendom je dosta popunjeno, a kad je lijepse vrijeme otvorena je terasa.Sve u svemu dobar omjer ulozenog I dobivenog."
False,"Zagoreno meso u double cheeseburgeru, ali ljubazno osoblje!"
False,"Ok hrana,ali premale porcije s obzirom na cijene. Sorry."
False,Ukratko fuj... Unutra neko meso za koje ne znaš je li riba ili piletina i to blago ppodgrijana a pecivo hladno (čak i nekim dijelom zaleđeno) i na oko vidljivo da nije baš najsvježije. Sramota...
False,"Losa organizacija, diraju prljavim rukama hranu, jako su spori, jedan djelatnik radi na kasi,izdavanju hrane, pripremi hrane, i sa tim prljavim rukama od novaca dira hranu, najlošije organizacija"
False,Nisu imali kapice i aparat za sejk nije radio i daju hranu prljavim rukama
False,"Uz palačinke sa sirupom ne dostave sirup, traže fotografiju računa, pa odgovore da je sirup dio s palačinkama i ionako gratis, pa su spremni vratiti čak 5 kn na račun. Na odgovor da u 22 navečer niti imam gdje kupit sirup, kojem najmanje pakiranje košta više od dvojih naručenih palačinki, tako da su palačinke nejestive-zahvaljuju na feedbacku. I nisu si htjeli doć po palačinke ili poslat sirup po drugom dostavljaču."
False,"Užasno, čista kopija McDonald's-a i to jako loša, ne preporučam odlazak u njega. Netko tko je kopirao nekoga drugoga ne zaslužuje uspjeh."
False,Po meni možda i bolje od mcdonaldsa jer je malo ipak drugačiji ....ali u pravilu to je to...tko voli mcdonalds zavoliti će i burger king
False,"Meso je jedino bolje od mc donaldsa. U pecivu, umacima ostalome, mc donalds pobjeđuje."
False,"Jeli sladoled u Z centru. Možda je iznimka, no nejestivo, preeledeno. Sitni komadići leda, okus nikakav."
False,Teški junk od hrane. Nezdravo i odvratnog umjetnog okusa. S ovim 'smećem' ne bi ni svinje hranio.
True,"Klopa jeftina, a top! Uzeli meni u 4 sljeda pojeli sve za 40 minuta, ali jedva! Za svaku preporuku!"
False,"Sramota. Ne primaju darovne kartice a na popisu su, jedna osoba radi na 1000 ljudi, koma."
False,"U Burger Kingu u City Center One East hranu slazu golim rukama! U medjuvremenu diraju mobitele, česaju se po kosi i odjeci i zatim diraju krastavce i meso i kruh SVE GOLIM RUKAMA! Dobar tek onima kojima to ne smeta!"
True,"Ukusna hrana (posebno pečeni domaći mesni ravioli, hrskava patka i pečeni sladoled), pristupačne cijene, ljubazno i brzo osoblje. Sve preporuke! Vraćamo se sigurno."
False,"Burger King Aarena centar Zagreb;Dobili potpuno hladne burgere i pomes, a pecivo suho i staro.Nije mi jasno kako su to uspjeli kad smo zbog gužve čekali u redu, pa smo očekivali i svježe pripremljenu hranu. Šteta, ali to vise nije ni na tragu kvalitete i okusa koji je bio ranije u istom restoranu."
True,"Hrana odlična, preporučam svima!Usluga je malo slabija s obzirom da su konobarice i konobari Kinezi pa nema neke priče između konobara i kupaca ali znaju Hrvatski. Preporučam pohani Sladoled i Proljetne Rolice."
False,Jedan od boljih kineskih restorana u Zagrebu. Okusi hrane su doduše nešto blaži/umjereniji nego što bi se očekivalo.
False,"Solidna hrana, definitivno nedostaje začina. Konobar/i ne donose u isto vrijeme naručeno vama i onome s kim ste došli nego prvo npr.njima pa nakon 5,10 minuta vama, koma…"
False,"Konobar jaako uslužan.Glavno jelo je bilo jako dobro ali juha za koju mi je konobar rekao da kinezi Lude za njom bila je vodica s vegetom ili nečim sličnim,uz ostale dodatke.Ambijent je nekako tužnjikav."
True,"Uvijek se vracam. Omjer cijene, kolicine i ukusnosti hrane odlican."
True,"Odlična hrana, vrlo brza posluga, OGROMNE porcije i stvarno prihvatljive cijene. Jedino bi ambijent mogao biti malo dorađeniji."
True,Batak standardno odličan a njihovi. mi poticajni napisi uvijek uljepšaju dan ☀️Pet plus!
False,"Hrana zbilja dobra, ima prostora i za mali napredak ali to nije nista negativno i vjerujem da će ekipa to i postići, osoblje ljubazno i pristojno, osobno bih ponovno došao 👍"
False,"Hrana je za deset. Ukusno, obilne porcije. Za cijenu dovoljna kolicina"
True,"Hrana za 10, sve pohvale osoblju koje je uvijek ljubazno i veselo 😊"
True,"Ljubazno osoblje, meso kakvo se rijetko gdje može jesti ,jako dobra hrana . Nešto manje smo oduševljeni prilozima ali neznatno .Jako uredan prostor i lijepo uređen.Odlično mjesto za family ručak ,tema buildinge i slično."
False,Užasna hrana paprenih cijena i ko fol sve umaskirano u nekakvu finoću.
False,"Porcije hrane su velike, a hrana je ukusna. Cijene na meniju su malo vise, ali svako zasluzuju kvalitetu. Ambijent je simaptican i ugodan. Jedino ogranicenje je mozda sto je konobar bio malo tmuran, bezenergican, bez osmijeha na licu. Nisam se osjetio previse dobrodosao."
False,Meso odlično ali trebalo bi malo poraditi na ponudi vina
True,"Vrhunski ručak! Uljudno osoblje, fina klopa i velike porcije. Jela poput mamutice (steak) ili ajngemahteca su pravi soul food, nećete pogriješiti."
True,"Standardno izvrsni.Teletina ispod peke ...fantastična!!Osoblje ljubazno i komunikativno,nenametljivo.Super!!!!"
True,Prefina klopa i uslužno osoblje! Volimo se tamo iznova vraćati👌🏼
False,Uvijek me oduševi okus njihovih sendviča. Svaka preporuka. Krumpirići mi nisu baš nešto.
False,"Posluga je srednja zalost ,neljubazno plus bez emocija (mrtva macka ima vise radosti u faci nego oni) da ne pricam o hrani .skupa. bezukusna i da ...bilo bi super da dobis salvetu al moguce da sam premalo kupio 100+kn tako da slobodno neka netko napise koliko trebas para kesirat da dobis bijednu salvetu!"
False,"Dobar fast food, lijepa terasa, gladni vrapčići skakuću po praznim stolovima, usluga brza, djelatnici jako ljubazni."
False,"Ma mislim da je svaki komentar suvišan, o ukusima se ne raspravlja, meni to nije to ;)"
True,"Jako volim burger King, odgovaraju mi okusi tamo, probali smo sve deserte - odlični su."
False,"Cijene visoke u odnosu na sličnu hranu brze prehrane koja se nudi u sličnim restoranima u blizini. Mjesta za stolovima zbita, sve se jede prstima i čovjek nema volju dužeg zadržavanja. Prostor za odlaganje pladnjeva na dosta nepraktičnom mjestu."
True,"Hrana ukusna,sve namirnice svježe i lijepo posložene na plitici.Posluga je profesionalno odradila svoj posao."
True,"Svakako probati toplo hladnu salatu sa piletinom - dobro začinjeno, meso hrskavo. Sve preporuke!"
True,"Klopa odlična, konobar super! Ljubazan, uslužan, nenametljiv."
False,"Osoblje (onaj gospodin malo jace građe , krupniji) je bahat i bezobrazan, zalosno da takve osobe tu rade ."
True,Odlicna hrana! Hvala osoblju na lijepom gostoprimstvu. Samo za preporuciti.
False,"Batak je postalo jedno od onih mjesta gdje ideš, kada znaš da ćeš se dobro najesti. Iako cijenom nisu najjeftiniji, ista je zadržana zahvaljujući tradiciji koja sada već postoji neko vrijeme. Čekanje je bilo duže nego očekivano, ali isplatilo se."
True,Sta rec nego vrhunski i sve savrseno.. osoblje za 10 pogotovo gospodin Slavko!! Jos samo fali da otvorite nesto slicnoga u Puli i bit ce za 10!
True,U ovom restoranu jedem još otkad sam bila mala. Hrana je jako ukusna a cijene su prihvatljive. Jako sam zadovoljna. Preporučujem ovaj restoran svima!!
True,"Svježe i ukusno, dobro pripravljeno, ugodna atmosfera, dobra posluga"
True,"Tradicionalno odlična hrana, a osoblje   profesionalno. Toplo preporučam svima!"
True,Kvaliteta hrane na visokoj razini sa dugogodišnjom tradicijom.Osoblje vrlo ljubazno.
True,"Ugodan ambijent, odlična hrana, ljubazno osoblje, pristupačne cijene"
False,"Nema klime vani je vruće nema ventilatora nema vodene zavijese za osvježenje nema ništa za rashladiti.Sjedili smo od13 hdo 16 h,dobro da nitko nije umro,imali smo krstitke."
False,"Ugodno je, ali je skupo! Konobari skloni predrasudama i ponašaju se kao da su vlasnici i kao da vi ovisite o njima, a ne oni o vama! Procjena ljudi na način: ma ne treba vam menu nećete vi tu jesti...."
True,"Ovo mjesto je pre dobro, a da ne pricamo o hrani sve je ovdje fantastično. Preporucujem da dođete ovdje."
True,"Predivna atmosfera, vrlo susretljiv i ljubazan prosijedi plavooki konobar ...svakome preporuka dadodje prizalogajiti i popiti nesto finooo..."
True,"Vrlo ugodno provedeno vrijeme. Veliki vanjski prostor za razonodu, fina klopa i pristojno osoblje. Nalazi se malo van puteva, najbolje doći vlastitim automobilom ili organiziranim prijevozom."
True,Raj na zemlji. Prefina hrana. Profesionalno osoblje koje se trudi ugoditi svakoj želji. Zaslužuje 5 zvjezdica.
False,"Zgodno mjesto, ali katastrofalna hrana. Ambijent izgleda obećavajuće, nadomak grada, etno, čovjek bi očekivao malo bolju i originalniju ponudu, ali avaj, ništa od toga. Na nivou menze, žalibože novaca. Osoblje vrlo ljubazno i uslužno"
True,Ukusna hrana. Jako ljubazno osoblje. Volim njihovu savijacu od jabukr u umaku od vanilije.
True,"Raj na zemlji osoblje klopa cuga desert,objekat uredenje keramika wc,gravce na tavce biftek,teletina..cista desetka moj naklon i vasem druzenje zadnjih 25godina ...bundesliga od restorana"
True,Pravo mjesto za domaću zagorsku kuhinju.  Osoblje vrlo ljubazno i profesionalno. Atmosvera prava domacinska a hrana izvrsna ! Mjesto ima priču.Obiteljski restoran sa vrhunskom ponudom.👍😃
True,"Jako dobra hrana, za preporučiti svim gurmanima ! Obožavam njihov fish paprikaš petkom jer je to rapsodija okusa mmm...."
True,"Papica standardno odlicna,osoblje vise nego usluzno,cijene vrlo pristupacne. PREKRASNO!!!!"
True,Hrana je bila odlična! Konobar Slavko je bio izuzetno ljubazan i uslužan!
True,Odlična hrana. Meso je iznimno ukusno i svježe. Plata Batak za 2 osobe je vrlo obilna i raznosvrsna. Krumpir je odličan također. Osoblje je vrlo ljubazno i uslužno.
True,"Konobar susretljiv i nasmijan hrana izvrsna, predivno iskustvo"
True,"Konzistentno dobra klopa, a ono sto razlikuje Batak od svih ostalih restorana je to sto imaju najbolju uslugu i najljubaznije konobare."
True,Ukusna hrana. Osoblje ljubazno. Velika natkrivena terasa.
False,"Lijep interijer, dobra hrana, steta da nas je dopao zivcan i neugodan konobar."
False,"Nije upitna hrana, nego izrazito ne ljubazno, arogantno i jako bezobrazno burger King osoblje. Da mogu dati nulu, dao bi."
False,"Ne bi bilo loše uvesti nekakav redoslijed primanja klijenata jer većina čeka u jednom redu za sve blagajne ,a neki uredno prođu i preskoče red."
True,Usluga bi mogla biti malkoc brža ali sve ostalo je zato savršeno. Možda je ustvari stvar bila u tome što je stvarno bila velika gužva a ja jako gladna!😁😁
False,Pazite ljudi sta uzimate to sto se nesto zove double cheese burger to ne znaci da je veliko :D. Ako uzimate pitajte koji su malo veci ili gledajte dobro na reklame gore inace se necete najest.
False,"Neuljudno osoblje koje te kad želiš ić zapalit na terasu čekajući narudžbu, zaposlenica te potjera dok ona sprema terasu još pola sata"
False,Fakat onak dugo se ceka i nije pre onak fino i onak bas su GARAVI❤️Samo pozitiva
False,"Ukratko:Odvratno,neukusno,skupo i jos jednom odvratno,sve u svemu sramota da takve stvari kod nas opstaju."
False,Ugodno mjesto za dovesti djecu i provesti dan.Mogućnost jahanja i pecanja.Ima dječje igralište.Treba još malo doraditi na uređenju
True,"Savršen dan na savršenom mjestu! Hrana prefina, piće isto, usluga vrhunska! Baš smo uživali💕"
False,"Jako puno se čeka jelo,od juhe do glavnog jela prošlo 45 minuta."
True,"Prekrasno,jeli nismo samo smo kavu popili tako da o hrani ne mogu reci ali planiramo"
True,"Ambijent ugodan, hrana odlična isto kao i osoblje. Savršeno mjesto za provest dan sa prijateljima ili obitelji."
False,"Fina hrana i dobra usluga,veliko igralište(travnjak) je malo pusto. Bilo bi 5 zvjezdica da ima malo više sadržaja za djecu i malo više hlada.."
True,"Odlična usluga, konobari su brzi i ljubazni, nikada nisu pogriješili narudžbu, a uvijek naručimo 10 stvari minimalno. Juha od bambusa i gljiva - prefino. Patka u sechuan umaku kao glavno jelo - odlična. Rezanci sa povrćem - izvrsni. Porcije su obilne. Raznoliki izbor deserata - probali smo pohani sladoled (vaniliju i čokoladu), lichi, okruglice punjene kikirikijem, svaki desert je na svoj način neko novo iskustvo. Povrće i meso su uvijek sviježi. Uvijek se rado iznova vraćamo ovdje, u raznim prigodama."
True,"Odlična hrana. Već više godina dolazim u ovaj restoran te svakim dolaskom dobivam razlog da ponovno dođem. Domaćini su uvijek ugodni i uvijek sa zadovoljstvom pružaju najbolju uslugu.Što se tiče hrane, moram priznati da je fenomenalna.Često uzimamo prženi piletinu u slatko kiselom umaku koja je svaki put sve bolja🤗 Piletina je hrskavs, sa sočnim slatko kiselim umakom kojeg je super kombinirati sa rezancima s povrćem. Rezanci su im uvijek spremljeni na taj način da finiji nemogu biti (što ne preuvelicavam).Ako ste ikad u prolazu, nemate razlog ne doći i okusiti najbolju kinesku hranu u Zagrebu!"
True,Super hrana malo skuplje cijene ali su porcije velike i stvarno se najedeš. Preporuka kiselo ljuta juha.
True,"Odlicna hrana, velike porcije, jako usluzno osoblje. Pristojne cijene. Moja preporuka!"
